1,0
3,2
5,2
7,2
9,2
11,3
13,4
15,4
17,4
19,6
21,4
23,4
25,4
27,4
29,4
31,7
33,6
35,4
37,4
39,4
41,4
43,5
45,5
47,16
49,4
51,6
53,6
55,6
57,6
59,6
61,7
63,6
65,6
67,6
69,6
71,6
73,6
75,7
77,7
79,7
81,7
83,7
85,7
87,7
89,7
91,7
93,10
95,7
97,7
99,7
101,8
201,8
301,8
401,8
501,8
601,9
701,9
801,9
901,9
1001,9
1101,9
1201,9
1301,10
1401,9
1501,10
1601,10
1701,10
1801,10
1901,10
2001,10
2101,11
2201,12
2301,12
2401,15
2501,15
2601,15
2701,15
2801,17
2901,18
3001,19
3101,21
3201,22
3301,22
3401,22
3501,21
3601,21
3701,21
3801,22
3901,22
4001,22
4101,22
4201,22
4301,22
4401,23
4501,23
4601,23
4701,23
4801,23
4901,23
